NOMBRE,FECHA NACIMIENTO,PIERNA,LUGAR NACIMIENTO,POSICIÓN,MINUTOS JUGADOS,PARTIDOS JUGADOS,LIGA,EQUIPO,OPONENTES SUPERADOS POR 90,BALONES ATRAPADOS,PARADAS REALIZADAS,TIROS SALVADOS,OPONENTES SUPERADOS POR PARADA,TOTAL TIROS ENFRENTADOS,VALOR AÑADIDO PARADAS,SAQUES PUERTA EXITOSOS,OPONENTES SUPERADOS POR SAQUE,OPORTUNIDADES NEUTRALIZADAS,TOQUES DEFENSIVOS ÁREA PROPIA,DUELOS TERRESTRES GANADOS,DUELOS TERRESTRES PERDIDOS,DUELOS AÉREOS GANADOS,DUELOS AÉREOS PERDIDOS,INTERCEPCIONES,BLOQUEOS,RECUPERACIONES BALONES SUELTOS,DESPEJES CABEZA,TOQUES DEFENSIVOS PRIMER TERCIO,RECUPERACIONES PRIMER TERCIO,NÚMERO PRESIONES,TOQUES DEFENSIVOS SIN POSESIÓN,TOQUES TRANSICIÓN DEFENSIVA,RECUPERACIONES SIN POSESIÓN,RECUPERACIONES TRANSICIÓN DEFENSIVA,RECUPERACIONES EN ÚLTIMO TERCIO,VALOR AÑADIDO BLOQUEOS,RECUPERACIONES COMO CENTRAL,RECUPERACIONES COMO LATERAL DERECHO,RECUPERACIONES COMO LATERAL IZQUIERDO,VALOR INTERCEPCIONES EQUIPO,PASES DESDE PRIMER TERCIO,TOQUES DEFENSIVOS EN DUELOS,DUELOS DEFENSIVOS GANADOS,TOQUES DEFENSIVOS CARRIL CENTRAL,OPONENTES SUPERADOS/90,DEFENSORES SUPERADOS POR 90,OPONENTES SUPERADOS POR REGATE,REGATES EXITOSOS,OPONENTES SUPERADOS AL RECIBIR,NÚMERO OPONENTES SUPERADOS AL RECIBIR,TOQUES EN ÚLTIMO TERCIO,TOQUES OFENSIVOS ÁREA RIVAL,TOQUES EN POSESIÓN,TOQUES TRANSICIÓN OFENSIVA,DISPONIBILIDAD EN ÁREA,TOQUES PROTEGIENDO BALÓN,OPONENTES SUPERADOS EN POSESIÓN POR 90,OPONENTES SUPERADOS CONTRAATAQUE POR 90,DISTANCIA REGATE HACIA PORTERÍA,DISTANCIA CONDUCCIÓN HACIA PORTERÍA,TOTAL OPONENTES SUPERADOS,OPONENTES SUPERADOS PASE BAJO,OPONENTES SUPERADOS PASE DIAGONAL,OPONENTES SUPERADOS PASE ELEVADO,OPONENTES SUPERADOS PASE AÉREO CORTO,OPONENTES SUPERADOS DESDE TERCIO MEDIO,OPONENTES SUPERADOS HACIA ÚLTIMO TERCIO,TIROS A PORTERÍA,TIROS FUERA,TIROS BLOQUEADOS,TIROS EXITOSOS,TIROS LARGA DISTANCIA,TIROS MEDIA DISTANCIA,TIROS CORTA DISTANCIA,REMATES CABEZA,TIROS UNO CONTRA UNO,PENALTIS TIRADOS,TIROS LIBRES DIRECTOS,TIROS DENTRO ÁREA,TIROS DESDE ÚLTIMO TERCIO,XG POR TIROS,XG TIROS LEJANOS,XG TIROS MEDIA DISTANCIA,XG TIROS CERCANOS,XG REMATES CABEZA,XG PENALTIS,GOLES POR 90,GOLES TIRO LARGA DISTANCIA,GOLES TIRO MEDIA DISTANCIA,GOLES TIRO CORTA DISTANCIA,GOLES CABEZA,GOLES UNO CONTRA UNO,GOLES PENALTI,GOLES TIRO LIBRE,GOLES PUERTA VACÍA,GOLES DENTRO ÁREA,GOLES DESDE ÚLTIMO TERCIO,GOLES DESDE CARRIL CENTRAL,GOLES EN POSESIÓN POR 90,GOLES CONTRAATAQUE POR 90,GOLES JUGADA PARADA POR 90,PASES EXITOSOS POR 90,PASES FALLIDOS,PASES RASOS EXITOSOS,PASES DIAGONALES EXITOSOS,PASES ELEVADOS EXITOSOS,PASES AÉREOS CORTOS EXITOSOS,CENTROS ALTOS EXITOSOS,CENTROS RASOS EXITOSOS,CÓRNERS EXITOSOS,TIROS LIBRES EXITOSOS,PASES DESDE PRIMER TERCIO.1,PASES DESDE TERCIO MEDIO,PASES DESDE ÚLTIMO TERCIO,PASES EXITOSOS HACIA ÚLTIMO TERCIO,PASES EXITOSOS HACIA ÁREA RIVAL,PASES EXITOSOS A MEDIAPUNTA,PASES EXITOSOS A MEDIOCENTRO,PASES EXITOSOS A BANDA DERECHA,PASES EXITOSOS A BANDA IZQUIERDA,PASES EXITOSOS A PIVOTE,PASES DESDE CARRIL CENTRAL,PASES HACIA CARRIL CENTRAL,PASES DESDE BANDA DERECHA,PASES HACIA BANDA DERECHA,PASES DESDE BANDA IZQUIERDA,PASES HACIA BANDA IZQUIERDA,PASES EN FASE POSESIÓN,PASES EN TRANSICIÓN OFENSIVA,PASES EN JUGADAS BALÓN PARADO,PASES EXITOSOS HACIA ÁREA,PASES EXITOSOS HACIA PRIMER TERCIO,PASES EXITOSOS HACIA TERCIO MEDIO,PASES DESDE LATERAL DERECHO POR 90,PASES DESDE DEFENSA CENTRAL POR 90,PASES DESDE LATERAL IZQUIERDO POR 90,ASISTENCIAS POR 90,ASISTENCIAS PASE RASO,ASISTENCIAS PASE DIAGONAL,ASISTENCIAS PASE ELEVADO,ASISTENCIAS PASE AÉREO CORTO,ASISTENCIAS CENTRO RASO,ASISTENCIAS CENTRO ALTO,ASISTENCIAS DESDE MEDIAPUNTA,ASISTENCIAS DESDE MEDIOCENTRO,ASISTENCIAS DESDE BANDA DERECHA,ASISTENCIAS DESDE BANDA IZQUIERDA,ASISTENCIAS DESDE ÚLTIMO TERCIO,ASISTENCIAS DESDE CARRIL CENTRAL,ASISTENCIAS DESDE BANDA DERECHA/90,ASISTENCIAS DESDE BANDA IZQUIERDA/90,XG CREADA CON PASES,OPONENTES SUPERADOS DESDE MEDIAPUNTA,OPONENTES SUPERADOS DESDE MEDIOCENTRO,OPONENTES SUPERADOS DESDE BANDA DERECHA,OPONENTES SUPERADOS DESDE BANDA IZQUIERDA,OPONENTES SUPERADOS HACIA MEDIAPUNTA,ASISTENCIAS POR CÓRNER,ASISTENCIAS CONTRAATAQUE,ASISTENCIAS EN POSESIÓN,ASISTENCIAS JUGADAS BALÓN PARADO,XG POST TIRO,XG DENTRO ÁREA,XG DESDE ÚLTIMO TERCIO,XG DESDE CARRIL CENTRAL,XG EN POSESIÓN,XG EN CONTRAATAQUE,XG EN JUGADAS BALÓN PARADO,CENTROCAMPISTAS SUPERADOS POR 90,DEFENSAS SUPERADOS PASE RASO,DEFENSAS SUPERADOS PASE DIAGONAL,DEFENSAS SUPERADOS PASE ELEVADO,DEFENSAS SUPERADOS REGATE,OPONENTES SUPERADOS EN POSESIÓN,OPONENTES SUPERADOS EN CONTRAATAQUE,NÚMERO JUGADAS NEUTRAS,NÚMERO JUGADAS REVERSIBLES,NÚMERO PÉRDIDAS,PÉRDIDAS CRÍTICAS POR 90,OPONENTES GANADOS RIVAL TRAS PÉRDIDA,COMPAÑEROS DESPOSICIONADOS TRAS PÉRDIDA,COMPAÑEROS BENEFICIADOS TRAS RECUPERACIÓN,OPONENTES ANULADOS TRAS RECUPERACIÓN,OPONENTES SUPERADOS JUGADAS BALÓN PARADO
SIMON MIGNOLET,1988-03-06,DERECHA,SINT-TRUIDEN,PORTERO,1663,28.0,JUPILER PRO LEAGUE,BRUJAS,29.40993,0,0,0,0.6,0,0,0,3.782143,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.357143,0,0,5.75,0,2.40425,0,0.714286,0.25,0.214286,0,0,0,0,0,0,0,0,0,0.0,0,0,4.046428,10.575,0,1.653571,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,26.642857,4.178571,0,0,2.357143,0,0,0,0,0,0,0.607143,0,0,0,0,0,0.678571,1.535714,2.285714,23.142857,0,0,3.642857,0.178571,0,17.464285,4.285714,0,0,13.642858,6.642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.945929,0,0,1.642857,0,0,0,38.92857,0.535714,6.75,0,1.839243,8.443739,18.194963,0.975214,0
LUCAS PIRARD,1995-03-10,DERECHA,SPRIMONT,PORTERO,245,4.1141,JUPILER PRO LEAGUE,KV KORTRIJK,23.173092,0,0,0,1.701473,0,0,0,2.309142,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.646014,0,0,9.722704,0,1.677166,0,1.701473,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,3.086958,6.97604,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,17.500868,4.132149,0,0,1.944541,0,0,0,0,0,0,0.0,0,0,0,0,0,0.97227,0.486135,1.458406,13.854853,0,0,3.646014,0.0,0,9.479636,2.430676,0,0,9.722704,4.618284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.139098,0,0,0.802123,0,0,0,22.362219,1.215338,7.778163,0,2.721142,8.574719,36.6298,2.917541,0
PATRIK GUNNARSSON,2000-11-15,DERECHA,KÓPAVOGUR,PORTERO,603,10.2194,JUPILER PRO LEAGUE,KV KORTRIJK,24.934385,0,0,0,0.195707,0,0,0,5.000798,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.424869,0,0,6.654031,0,1.769189,0,1.076387,0.097853,0.097853,0,0,0,0,0,0,0,0,0,0.0,0,0,3.072597,5.880989,0,1.712434,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,14.775862,6.36047,0,0,1.859214,0,0,0,0,0,0,0.195707,0,0,0,0,0,0.489267,1.076387,0.782827,10.959579,0,0,2.446335,0.097853,0,8.415392,2.935602,0,0,8.904658,3.914136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.607538,0,0,0.939393,0,0,0,22.79984,0.58712,11.5467,0,2.911236,8.618261,21.99441,1.272485,0
MARKO ILIC,1998-02-03,DERECHA,NOVI SAD,PORTERO,282,4.6665,JUPILER PRO LEAGUE,KV KORTRIJK,22.170584,0,0,0,2.678639,0,0,0,3.557233,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.214367,0,0,9.000228,0,0.900023,0,2.142911,0.214291,0.214291,0,0,0,0,0,0,0,0,0,0.0,0,0,1.95005,4.050103,0,1.45718,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,12.214596,5.57157,0,0,1.285747,0,0,0,0,0,0,0.0,0,0,0,0,0,1.071456,1.071456,1.500038,9.21452,0,0,2.357203,0.642873,0,5.785861,3.214367,0,0,5.785861,3.428658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.288932,0,0,0.257149,0,0,0,15.214672,0.642873,7.50019,0,3.501412,12.112485,32.442608,1.28639,0
TOM VANDENBERGHE,1992-08-17,DERECHA,SIN DATOS,PORTERO,529,9.0,JUPILER PRO LEAGUE,KV KORTRIJK,18.998888,0,0,0,0.733444,0,0,0,4.078222,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.111111,0,0,9.777778,0,1.222222,0,1.555556,0.111111,0.111111,0,0,0,0,0,0,0,0,0,0.0,0,0,1.166667,6.288889,0,2.288889,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,12.0,5.888889,0,0,1.111111,0,0,0,0,0,0,0.222222,0,0,0,0,0,0.444444,0.555556,0.666667,10.111111,0,0,1.111111,0.0,0,5.333333,2.333333,0,0,6.555555,3.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.054334,0,0,1.188889,0,0,0,18.444445,0.555556,7.777778,0,2.402989,7.935911,29.069668,1.889,0
COLIN COOSEMANS,1992-08-03,DERECHA,GENT,PORTERO,1536,26.0,JUPILER PRO LEAGUE,RSC ANDERLECHT,36.009483,0,0,0,1.484692,0,0,0,1.973077,0,0,0,0.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.384615,0,0,7.807693,0,2.786615,0,0.884615,0.165385,0.192308,0,0,0,0,0,0,0,0,0,0.0,0,0,6.892538,10.680923,0,2.042308,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,32.846153,7.269231,0,0,2.615385,0,0,0,0,0,0,2.307692,0,0,0,0,0,1.038462,1.615385,4.076923,28.538462,0,0,4.615385,0.115385,0,25.76923,3.423077,0,0,17.884615,10.269231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.613262,0,0,1.723077,0,0,0,49.692307,0.538462,9.346154,0,3.212571,11.419127,27.595194,1.462615,0
MADS KIKKENBORG,1999-10-07,DERECHA,ESBJERG,PORTERO,118,2.0,JUPILER PRO LEAGUE,RSC ANDERLECHT,26.7758,0,0,0,0.5,0,0,0,0.8035,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,8.0,0,1.601,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,9.85,0,0.55,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,22.0,7.5,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,3.0,15.5,0,0,2.0,0.5,0,17.5,2.5,0,0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3858,0,0,1.2,0,0,0,37.0,0.0,12.5,0,1.553452,23.68945,25.9,0.0,0
DAVY ROEF,1994-02-06,DERECHA,RUMST,PORTERO,1538,26.0,JUPILER PRO LEAGUE,KAA GENT,24.547077,0,0,0,0.592308,0,0,0,4.715539,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346154,0,0,8.807693,0,1.585769,0,1.384615,0.076923,0.076923,0,0,0,0,0,0,0,0,0,0.0,0,0,4.053846,7.088539,0,1.419231,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,22.115385,5.153846,0,0,1.576923,0,0,0,0,0,0,0.038462,0,0,0,0,0,1.192308,1.346154,1.076923,19.307692,0,0,3.307692,0.0,0,11.923077,3.769231,0,0,13.346154,4.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.850039,0,0,1.0,0,0,0,30.73077,0.538462,7.961538,0,1.904341,11.533932,30.428806,1.811961,0
DANIEL SCHMIDT,1992-02-03,DERECHA,"---, ILLINOIS",PORTERO,120,1.0,JUPILER PRO LEAGUE,KAA GENT,22.7572,0,0,0,0.0,0,0,0,1.4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,9.0,0,0.4027,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2.4,0,1.4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,27.0,5.0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,1.0,3.0,25.0,0,0,6.0,0.0,0,23.0,3.0,0,0,20.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0527,0,0,0.0,0,0,0,42.0,1.0,9.0,0,1.121,1.6625,36.84,1.002,0
TOM VANDENBERGHE,1992-08-17,DERECHA,SIN DATOS,PORTERO,120,1.0,JUPILER PRO LEAGUE,KAA GENT,32.801003,0,0,0,2.401,0,0,0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,8.0,0,2.0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,17.0,0,5.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,28.0,8.0,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,26.0,0,0,0.0,1.0,0,18.0,5.0,0,0,12.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,2.0,0,0,0,48.0,0.0,8.0,0,1.290999,8.3339,31.400002,0.0,0
