NOMBRE,PROTEINAS_DIARIAS_G,CARBOHIDRATOS_DIARIOS_G,HIDRATACION_DIARIA_L,CALORIAS_DIARIAS,PLAN_NUTRICION
MARTIN HÅHEIM-ELVESETER,126,372,4.2,2552,Equilibrado en macronutrientes
GEORGES MIKAUTADZE,111,296,4.6,3160,"Alta proteína, moderado carbohidrato"
VILJAR VEVATNE,106,373,3.6,3533,Enfoque en recuperación muscular
MAHER CARRIZO,142,321,2.9,3703,Plan mediterráneo adaptado
ALEC VAN HOORENBEECK,147,210,4.6,3549,Equilibrado en macronutrientes
PABLO DURÁN,190,226,4.4,3737,Alto carbohidrato para rendimiento
KONAN N’DRI,81,390,3.6,2913,Alto carbohidrato para rendimiento
DAILON ROCHA LIVRAMENTO,134,258,3.9,3596,"Alta proteína, moderado carbohidrato"
ABDULRAHMAN AL-OBOUD,175,363,4.4,3078,"Alta proteína, moderado carbohidrato"
AMIR HADZIAHMETOVIC,106,275,3.4,3165,Enfoque en recuperación muscular
RODOLFO GONZÁLEZ,191,408,5.0,3201,Enfoque en recuperación muscular
ROMAIN ESSE,142,272,3.6,2735,Alto carbohidrato para rendimiento
RAMON,147,259,3.4,3672,Alto carbohidrato para rendimiento
MATEUS,193,234,2.7,3330,Alto carbohidrato para rendimiento
TEVIS,193,309,2.8,2964,"Alta proteína, moderado carbohidrato"
IVÁN BALLIU,178,226,2.8,2869,Alto carbohidrato para rendimiento
SAMET AKAYDIN,108,322,3.6,3364,Plan mediterráneo adaptado
MATHIAS JØRGENSEN,166,350,2.7,3957,"Alta proteína, moderado carbohidrato"
RAJIV VAN LA PARRA,111,224,3.9,3466,Alto carbohidrato para rendimiento
DANIEL MUÑOZ,90,253,4.2,2987,Equilibrado en macronutrientes
ADRIÁN SÁNCHEZ,121,282,3.1,3065,"Alta proteína, moderado carbohidrato"
DAVID COLINA,138,443,3.2,3334,Enfoque en recuperación muscular
PEDRO MILANS,116,248,4.1,3233,"Alta proteína, moderado carbohidrato"
OSCAR KRUSNELL,157,380,3.7,3230,"Alta proteína, moderado carbohidrato"
KENTO SHIOGAI,171,399,4.5,2916,Enfoque en recuperación muscular
DANILO PEREIRA,174,282,4.0,2519,"Alta proteína, moderado carbohidrato"
ABOUBACAR BASSINGA,159,217,3.7,2829,Equilibrado en macronutrientes
ALLAHYAR SAYYADMANESH,88,383,4.9,2687,Equilibrado en macronutrientes
EMILIANO RODRÍGUEZ,174,241,3.1,3604,Enfoque en recuperación muscular
MARTIN OLSSON,148,234,3.4,2746,Equilibrado en macronutrientes
LUKAS DASCHNER,152,268,3.3,3096,Plan mediterráneo adaptado
TOBY COLLYER,107,352,3.0,3231,Alto carbohidrato para rendimiento
KONSTANTINOS FORTOUNIS,130,374,4.7,3642,"Alta proteína, moderado carbohidrato"
ANDERS KRISTIANSEN,178,398,3.0,3884,"Alta proteína, moderado carbohidrato"
CHRISTIAN MAWISSA,197,230,4.4,3915,Alto carbohidrato para rendimiento
GUILLAUME DIETSCH,91,278,4.2,3936,Alto carbohidrato para rendimiento
BRAIAN AGUIRRE,186,368,3.9,3244,Plan mediterráneo adaptado
JOEL POISO,184,249,4.6,3760,Equilibrado en macronutrientes
SEAD HAKSABANOVIC,159,304,4.6,2713,Alto carbohidrato para rendimiento
DANIEL THORSTENSEN,112,311,3.2,3667,Enfoque en recuperación muscular
ADEM ZORGANE,187,297,3.5,3826,Enfoque en recuperación muscular
SIMON SANDBERG,120,271,3.4,3678,Enfoque en recuperación muscular
SIMEN KVIA-EGESKOG,149,439,3.8,3769,Plan mediterráneo adaptado
GABRIEL BARROS,124,370,3.3,3355,Plan mediterráneo adaptado
HABIB DIARRA,188,326,4.8,2594,Equilibrado en macronutrientes
EVAN FERGUSON,147,201,3.9,2555,"Alta proteína, moderado carbohidrato"
CHARLY KEITA,154,249,4.1,3585,Equilibrado en macronutrientes
PARFAIT BIZOZA,125,394,2.8,3255,Enfoque en recuperación muscular
ANTONINO GALLO,142,408,2.7,3780,Equilibrado en macronutrientes
BERKAY ÖZCAN,138,271,4.7,3921,Alto carbohidrato para rendimiento
ALAN RUSCHEL,96,272,4.4,3763,"Alta proteína, moderado carbohidrato"
MOCTAR DIOP,150,208,4.7,3697,Alto carbohidrato para rendimiento
FEDERICO DIMARCO,179,370,2.9,2883,Equilibrado en macronutrientes
GIOVANNI SIMEONE,102,439,3.1,2883,Alto carbohidrato para rendimiento
FRANCISCO FYDRISZEWSKI,135,209,3.7,3988,"Alta proteína, moderado carbohidrato"
SANTIAGO BUENO,164,271,3.7,3838,Enfoque en recuperación muscular
DOMINIK KOHR,121,209,4.1,2710,Plan mediterráneo adaptado
ERIC KITOLANO,141,404,4.9,3270,Equilibrado en macronutrientes
WENDELL,194,258,3.0,3707,"Alta proteína, moderado carbohidrato"
MARASH KUMBULLA,153,291,3.1,2819,Plan mediterráneo adaptado
SEBASTIÁN TORMO,167,219,3.9,2703,"Alta proteína, moderado carbohidrato"
SEVERIN NIOULE,152,250,4.1,3725,Equilibrado en macronutrientes
NICOLÁS SERVETTO,81,404,4.0,3748,Alto carbohidrato para rendimiento
MATÍAS ZALDIVIA,123,333,4.0,2587,Enfoque en recuperación muscular
CYRIL NGONGE,154,380,4.5,2960,Plan mediterráneo adaptado
BRYAN MBEUMO,157,206,4.0,3543,"Alta proteína, moderado carbohidrato"
GASTÓN CAMPI,127,394,3.9,3486,Alto carbohidrato para rendimiento
HENRI KOUDOSSOU,122,243,3.4,3387,Alto carbohidrato para rendimiento
MOHAMMED AL-ABDULLAH,142,356,3.9,3909,Enfoque en recuperación muscular
ADAM BAREIRO,194,413,3.9,2799,Enfoque en recuperación muscular
AMINE OUDRHIRI,151,252,3.2,3467,Equilibrado en macronutrientes
FABRIZIO PERALTA,114,241,4.7,3660,"Alta proteína, moderado carbohidrato"
RODRIGO HUESCAS,103,310,3.5,2910,Enfoque en recuperación muscular
SILVERE GANVOULA,86,331,2.5,3263,"Alta proteína, moderado carbohidrato"
BELTRAN MVUKA,107,360,2.6,3874,Enfoque en recuperación muscular
ANDREJ ILIC,83,383,3.4,3589,Equilibrado en macronutrientes
TOMÁS LECANDA,143,214,5.0,3403,Plan mediterráneo adaptado
GUSTAV FRIBERG,115,430,3.2,3220,Enfoque en recuperación muscular
GABRIEL FLORENTÍN,115,364,4.6,2826,Enfoque en recuperación muscular
LUCAS CUNHA,110,327,4.3,3159,Enfoque en recuperación muscular
DEPÚ,115,216,3.8,3095,Enfoque en recuperación muscular
PAPE GUEYE,177,365,4.9,2955,Enfoque en recuperación muscular
EMANUELE VALERI,181,247,3.6,3008,Plan mediterráneo adaptado
GABRIEL SANTOS,87,277,4.6,3438,Alto carbohidrato para rendimiento
MARCO FRIEDL,151,338,4.5,2913,Enfoque en recuperación muscular
ALFIE DORRINGTON,159,385,4.0,3027,Alto carbohidrato para rendimiento
DAVID DUARTE,114,375,3.1,2828,Plan mediterráneo adaptado
MAURO BRASIL,119,280,3.8,3704,"Alta proteína, moderado carbohidrato"
CHRIS-KÉVIN NADJE,144,392,3.3,2667,Equilibrado en macronutrientes
ODION IGHALO,88,208,3.2,3728,Equilibrado en macronutrientes
RAPHAËL GUERREIRO,179,248,3.3,3113,Equilibrado en macronutrientes
JACQUES EKOMIÉ,194,266,3.5,2503,Plan mediterráneo adaptado
CHRISLAIN MATSIMA,108,214,4.7,3558,Enfoque en recuperación muscular
IVAN BRNIC,83,214,2.8,2982,Equilibrado en macronutrientes
ALI AL-SHAAFI,118,367,4.6,3702,"Alta proteína, moderado carbohidrato"
DIMITRIOS GIANNOULIS,184,432,4.5,3851,Enfoque en recuperación muscular
JAKUB MODER,82,434,4.5,2665,Alto carbohidrato para rendimiento
SAMUEL EDOZIE,177,207,3.4,3761,Enfoque en recuperación muscular
RAÚL CÁCERES,105,212,3.8,2699,Equilibrado en macronutrientes
SHUMAIRA MHEUKA,156,354,2.7,3880,Equilibrado en macronutrientes
ESTEBAN CALDERÓN,139,435,3.8,2781,Plan mediterráneo adaptado
THIAGO SANTOS,198,345,4.9,3117,Enfoque en recuperación muscular
IGOR ZUBELDIA,92,258,4.2,2565,Equilibrado en macronutrientes
NICO SERRANO,164,320,2.8,3183,Equilibrado en macronutrientes
AGUSTÍN VILLALOBOS,111,240,4.0,3497,Alto carbohidrato para rendimiento
OLIVIER DE NIJS,170,380,3.4,3493,"Alta proteína, moderado carbohidrato"
DENIZ ERTAŞ,90,224,3.9,2784,Alto carbohidrato para rendimiento
YURI CASERMEIRO,196,272,3.3,3649,Equilibrado en macronutrientes
RENAN LODI,99,236,2.6,3547,Alto carbohidrato para rendimiento
CLAUDIO ECHEVERRI,176,213,3.8,3043,Plan mediterráneo adaptado
AGUSTÍN ÁLVAREZ,188,347,4.2,2583,Enfoque en recuperación muscular
KIRILL BOZHENOV,158,368,4.6,3712,Alto carbohidrato para rendimiento
CALVIN STENGS,129,272,4.9,3540,Enfoque en recuperación muscular
JOEL ALLANSSON,86,204,4.6,3005,Equilibrado en macronutrientes
WARNER HAHN,159,257,2.7,2809,"Alta proteína, moderado carbohidrato"
MIRKO TOPIĆ,125,205,2.5,2576,Enfoque en recuperación muscular
AMINE EL OUAZZANI,101,264,2.9,3077,Alto carbohidrato para rendimiento
HUGO SIQUET,143,319,2.7,2880,Enfoque en recuperación muscular
HARRY WILSON,80,439,4.3,3907,"Alta proteína, moderado carbohidrato"
LEONEL VANGIONI,142,310,4.6,3691,"Alta proteína, moderado carbohidrato"
KEVIN MÜLLER,156,209,3.2,3965,Alto carbohidrato para rendimiento
JUANMI LATASA,168,314,3.5,3363,Plan mediterráneo adaptado
OZAN DEMIRBAĞ,153,314,3.2,3332,Equilibrado en macronutrientes
PATRICK YAZBEK,196,226,3.0,2587,Enfoque en recuperación muscular
GIANLUCA PRESTIANNI,190,350,2.9,2670,Alto carbohidrato para rendimiento
OSCAR WENDT,176,243,4.8,3214,Equilibrado en macronutrientes
TIM PRICA,88,445,3.9,3003,Plan mediterráneo adaptado
JHON LUCUMÍ,167,430,4.8,2661,Enfoque en recuperación muscular
ANGEL GOMES,144,370,4.6,3218,Plan mediterráneo adaptado
BENJAMIN BOUCHOUARI,165,290,4.9,3825,Enfoque en recuperación muscular
DÁVID HANCKO,103,420,3.9,3177,Plan mediterráneo adaptado
ALEXANDER SCHWOLOW,81,306,3.1,2601,Equilibrado en macronutrientes
MOSTAFA MOHAMED,166,442,3.7,3169,Alto carbohidrato para rendimiento
THEO BAIR,182,249,4.5,3618,Enfoque en recuperación muscular
GABRIEL DE LEÓN,157,224,4.9,3617,Enfoque en recuperación muscular
VÍCTOR GÓMEZ,144,317,4.5,3399,Equilibrado en macronutrientes
FILIP BECKMAN,190,304,3.7,3736,"Alta proteína, moderado carbohidrato"
TORGEIR BØRVEN,85,394,4.9,2640,Plan mediterráneo adaptado
POL LOZANO,146,217,4.3,3276,Equilibrado en macronutrientes
MAREK RODÁK,143,345,4.9,3057,Alto carbohidrato para rendimiento
HORACIO SEQUEIRA,143,292,2.9,3981,Alto carbohidrato para rendimiento
SAAD BALOBAID,92,213,3.4,2543,Equilibrado en macronutrientes
THORGAN HAZARD,151,339,4.0,3633,"Alta proteína, moderado carbohidrato"
JEREMÍAS PÉREZ TICA,125,340,4.7,3662,"Alta proteína, moderado carbohidrato"
GIAN NARDELLI,178,373,2.8,3477,Enfoque en recuperación muscular
MOSES TURAY,188,376,4.1,2805,Alto carbohidrato para rendimiento
SOTIRIOS PAPAGIANNOPOULOS,97,323,2.6,2515,Enfoque en recuperación muscular
JOHN LUNDSTRAM,85,201,3.7,3240,Enfoque en recuperación muscular
SERGIO CORTELEZZI,114,421,3.4,2803,Enfoque en recuperación muscular
LARS RITZKA,154,302,3.7,2834,Plan mediterráneo adaptado
MARTIN ERLIĆ,94,235,2.8,3107,Plan mediterráneo adaptado
ALI AL-JASSEM,142,249,4.1,3167,"Alta proteína, moderado carbohidrato"
SHERIFF SINYAN,188,366,4.4,3583,Enfoque en recuperación muscular
GIANNI BRUNO,175,377,2.9,3041,Equilibrado en macronutrientes
MATÍAS ZARACHO,146,287,3.2,3877,Equilibrado en macronutrientes
LUCCAS CLARO,141,446,2.9,3434,Alto carbohidrato para rendimiento
CRISTIAN CRUZ,147,285,4.9,3738,"Alta proteína, moderado carbohidrato"
JAVIER MÉNDEZ,162,382,4.9,2933,Plan mediterráneo adaptado
FILIPE FERREIRA,142,415,3.5,3027,Plan mediterráneo adaptado
JOSHA VAGNOMAN,174,304,3.6,2505,Alto carbohidrato para rendimiento
ÀLEX CORREDERA,149,449,2.7,3272,"Alta proteína, moderado carbohidrato"
YERRY MINA,146,277,3.8,3825,"Alta proteína, moderado carbohidrato"
RAYAN CHERKI,149,318,4.8,3660,Plan mediterráneo adaptado
OMAR SHAMI,119,302,3.1,3158,Alto carbohidrato para rendimiento
JUSTIN CHE,102,226,3.1,3668,Equilibrado en macronutrientes
JAMES SANDS,112,356,4.5,3086,Plan mediterráneo adaptado
MEDON BERISHA,156,408,3.4,3744,Equilibrado en macronutrientes
CHRISTIAN,196,277,2.6,3223,"Alta proteína, moderado carbohidrato"
AGUSTÍN ALANIZ,94,401,2.8,3535,Enfoque en recuperación muscular
MAXIMILIANO ZALAZAR,106,275,3.7,3727,"Alta proteína, moderado carbohidrato"
HORACIO TIJANOVICH,109,375,3.0,3821,Enfoque en recuperación muscular
JOSÉ MARÍA GIMÉNEZ,87,341,4.9,3517,Plan mediterráneo adaptado
GILLES RUYSSEN,129,425,3.1,3179,Alto carbohidrato para rendimiento
DEJAN KULUSEVSKI,107,282,4.0,3364,Plan mediterráneo adaptado
BENJAMÍN RAMÍREZ,152,226,4.9,3407,Alto carbohidrato para rendimiento
JOHAN RAPP,95,311,3.1,3854,Enfoque en recuperación muscular
ANASS SALAH-EDDINE,182,311,4.0,3900,Equilibrado en macronutrientes
ÁNGEL ORTIZ,157,245,2.8,2916,Alto carbohidrato para rendimiento
ENRIQUE ALMEIDA,134,367,3.9,3809,Equilibrado en macronutrientes
ORINHO,195,236,3.8,2763,Alto carbohidrato para rendimiento
ALAN GARCÍA,105,272,4.1,2613,Plan mediterráneo adaptado
GONZALO RÍOS,82,418,4.7,2925,"Alta proteína, moderado carbohidrato"
RAMIRO HERNANDES,128,338,4.3,3196,Enfoque en recuperación muscular
TINO LIVRAMENTO,118,252,2.6,2797,Equilibrado en macronutrientes
ÇAĞLAR SÖYÜNCÜ,147,369,4.8,2948,Equilibrado en macronutrientes
LEANDRO REQUENA,142,437,4.7,3957,Equilibrado en macronutrientes
MAX BRUNS,106,288,4.6,3512,Enfoque en recuperación muscular
DANIEL OYEGOKE,149,221,3.9,3957,"Alta proteína, moderado carbohidrato"
SAÏD BAKARI,90,321,2.9,3134,Equilibrado en macronutrientes
JORMAN CAMPUZANO,192,359,3.0,3909,Equilibrado en macronutrientes
NAWAF AL-GULAYMISH,112,347,4.3,3360,Plan mediterráneo adaptado
FÁBIO CARVALHO,185,293,4.7,3319,"Alta proteína, moderado carbohidrato"
SERGIO REGUILÓN,175,434,3.3,2711,Enfoque en recuperación muscular
ISAAC PRICE,189,313,4.6,2745,Enfoque en recuperación muscular
FEDERICO MATEOS,120,284,3.9,3322,Equilibrado en macronutrientes
AMIR RRAHMANI,167,275,2.5,2590,Equilibrado en macronutrientes
AMIN CHIAKHA,97,287,3.8,3255,Equilibrado en macronutrientes
APOSTOLOS KONSTANTOPOULOS,102,394,4.9,3225,"Alta proteína, moderado carbohidrato"
MASON GREENWOOD,93,336,3.2,3645,Enfoque en recuperación muscular
MATEO MENDÍA,177,283,3.7,2961,Plan mediterráneo adaptado
RANDERSON,98,294,3.6,3402,Enfoque en recuperación muscular
UGOCHUKWU IWU,155,260,2.6,2622,Alto carbohidrato para rendimiento
RYAN SANUSI,131,318,3.2,3205,Alto carbohidrato para rendimiento
ANDRÉS MEHRING,161,444,4.1,2988,"Alta proteína, moderado carbohidrato"
